Pathway_categories,Number,Type
Central nervous system neuron differentiation,2,biological_process
Determination of dorsal identity,1,biological_process
Lamellipodium assembly,10,biological_process
Phosphatidylinositol metabolic process,5,molecular_function
Vesicle fusion,6,biological_process
Nucleoside monophosphate phosphorylation,9,biological_process
Positive regulation of transcription regulatory region dna binding,7,biological_process
Attachment of mitotic spindle microtubules to kinetochore,3,biological_process
Dolichyl diphosphate biosynthetic process,2,biological_process
Rna phosphodiester bond hydrolysis,6,biological_process
Rna phosphodiester bond hydrolysis,6,molecular_function
Histone exchange,2,biological_process
Copper ion transmembrane transporter activity,4,molecular_function
Proteasome accessory complex,4,cellular_component
Positive regulation of telomere maintenance via telomerase,17,biological_process
Superoxide anion generation,3,biological_process
Structural constituent of muscle,17,molecular_function
Receptor transactivation,2,biological_process
Glycoprotein catabolic process,3,biological_process
Golgi vesicle transport,2,biological_process
Positive regulation of protein kinase c signaling,2,biological_process
Bleb,1,cellular_component
Negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,6,biological_process
Negative regulation of peptidyl-threonine phosphorylation,9,biological_process
Dorsal/ventral pattern formation,6,biological_process
Activin receptor signaling pathway,7,biological_process
Outer dynein arm assembly,6,biological_process
Bradykinin catabolic process,1,biological_process
Trna 3'-end processing,2,biological_process
Positive regulation of long-term synaptic depression,1,biological_process
Calcium,3,molecular_function
Trna 3'-end processing,2,molecular_function
Positive regulation of protein exit from endoplasmic reticulum,4,biological_process
Regulation of blood coagulation,3,biological_process
Positive regulation of tumor necrosis factor secretion,4,biological_process
Collagen-activated tyrosine kinase receptor signaling pathway,6,molecular_function
Positive regulation of lymphocyte proliferation,4,biological_process
Positive regulation of dopamine secretion,1,biological_process
Sodium:bicarbonate symporter activity,4,molecular_function
Glycerophosphodiester phosphodiesterase activity,1,molecular_function
Apoptotic process involved in morphogenesis,2,biological_process
Cellular response to magnesium ion,2,biological_process
Positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,3,biological_process
Positive regulation of nitric-oxide synthase biosynthetic process,5,biological_process
Negative regulation of fibrinolysis,6,biological_process
Positive regulation of establishment of protein localization to telomere,4,biological_process
Glycoprotein metabolic process,6,biological_process
Muscle cell fate commitment,2,biological_process
Negative regulation of type i interferon production,6,biological_process
Dorsal/ventral axis specification,4,biological_process
Extracellular matrix assembly,4,biological_process
Regulation of wnt signaling pathway,7,biological_process
Membrane to membrane docking,1,biological_process
Activation of store-operated calcium channel activity,1,biological_process
Embryonic organ morphogenesis,3,biological_process
Glutamate-gated calcium ion channel activity,3,molecular_function
Positive regulation of dna-directed dna polymerase activity,3,biological_process
Neurotransmitter secretion,7,biological_process
Positive regulation of cholesterol efflux,5,biological_process
Srp-dependent cotranslational protein targeting to membrane,1,biological_process
Butyrate-coa ligase activity,5,molecular_function
Endothelium development,3,biological_process
Mitotic centrosome separation,1,biological_process
Gland development,3,biological_process
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,2,biological_process
Carboxy-lyase activity,4,molecular_function
Female meiotic nuclear division,2,biological_process
Protein disulfide oxidoreductase activity,9,molecular_function
Protein-arginine n-methyltransferase activity,3,molecular_function
Regulation of synaptic vesicle endocytosis,5,biological_process
Positive regulation of cardiac muscle cell differentiation,5,biological_process
Adp-ribosylation factor binding,5,molecular_function
Negative regulation of interleukin-8 secretion,3,biological_process
Peptidyl-prolyl cis-trans isomerase activity,6,molecular_function
Mitochondrial fission,3,biological_process
Carbonate dehydratase activity,4,molecular_function
Potassium ion leak channel activity,5,molecular_function
Regulation of exocytosis,10,biological_process
Regulation of b cell differentiation,2,biological_process
Cellular response to exogenous dsrna,7,biological_process
Positive regulation of t cell chemotaxis,5,biological_process
Integral component of peroxisomal membrane,6,cellular_component
Neurotransmitter receptor activity,9,molecular_function
Neutral amino acid transmembrane transporter activity,3,molecular_function
Fatty-acyl-coa biosynthetic process,2,biological_process
Positive regulation of cortisol secretion,4,biological_process
Muscle cell development,2,biological_process
Positive regulation of erythrocyte differentiation,12,biological_process
Regulation of voltage-gated calcium channel activity,3,biological_process
Positive regulation of transcription by rna polymerase iii,3,biological_process
Negative regulation of protein dephosphorylation,3,biological_process
Sensory perception,3,biological_process
Guanylate kinase activity,4,molecular_function
Response to light intensity,1,biological_process
Vocal learning,2,biological_process
Negative regulation of receptor binding,2,biological_process
Positive regulation of activation of janus kinase activity,3,biological_process
Fatty acid catabolic process,6,biological_process
Ammonium transmembrane transporter activity,3,molecular_function
Barbed-end actin filament capping,2,biological_process
Tissue development,6,biological_process
Peroxisome proliferator activated receptor signaling pathway,2,biological_process
Positive regulation of isotype switching to iga isotypes,2,biological_process
Synaptic transmission,2,biological_process
Positive regulation of osteoblast proliferation,3,biological_process
Embryonic eye morphogenesis,5,biological_process
Negative regulation of gastric acid secretion,1,biological_process
Cellular response to uv-b,5,biological_process
Calmodulin-dependent protein kinase activity,6,molecular_function
Neurofilament cytoskeleton organization,1,biological_process
Morphogen activity,2,molecular_function
Lysosomal transport,5,biological_process
Positive regulation of ruffle assembly,5,biological_process
Chromatin silencing at rdna,5,biological_process
Chromocenter,6,cellular_component
Cellular response to fatty acid,7,biological_process
Ceramide biosynthetic process,6,biological_process
Smoothened signaling pathway involved in dorsal/ventral neural tube patterning,5,biological_process
Regulation of early endosome to late endosome transport,2,biological_process
Platelet dense granule lumen,6,cellular_component
Regulation of protein processing,3,biological_process
Ap-1 adaptor complex,3,cellular_component
Protein localization to organelle,6,biological_process
Positive regulation of protein processing,7,biological_process
Calcium ion import across plasma membrane,3,biological_process
Bloc-1 complex,6,cellular_component
Positive regulation of translational initiation,4,biological_process
Dna topological change,3,biological_process
Positive regulation of chemokine secretion,6,biological_process
Camp biosynthetic process,5,biological_process
Detection of temperature stimulus involved in sensory perception of pain,6,biological_process
Anchored component of synaptic vesicle membrane,4,cellular_component
Positive regulation of neuroblast proliferation,5,biological_process
Attachment of gpi anchor to protein,2,biological_process
Regulation of triglyceride metabolic process,4,biological_process
Methylation-dependent chromatin silencing,1,biological_process
Response to steroid hormone,7,biological_process
Response to steroid hormone,7,molecular_function
Folic acid transport,4,biological_process
Folic acid transport,4,molecular_function
Negative regulation of protein kinase b signaling,14,biological_process
Optic nerve development,2,biological_process
Positive regulation of nk t cell activation,3,biological_process
Organelle organization,2,biological_process
Organelle organization,2,molecular_function
Regulation of immune system process,1,biological_process
Bbsome,7,cellular_component
Negative regulation of nitric oxide biosynthetic process,4,biological_process
Mrna cap binding complex,7,cellular_component
Lamin filament,1,cellular_component
Cia complex,2,cellular_component
Insulin-like growth factor receptor binding,5,molecular_function
Aminopeptidase activity,11,molecular_function
Negative regulation of telomere capping,2,biological_process
Heparin biosynthetic process,4,biological_process
Positive regulation of macrophage derived foam cell differentiation,11,biological_process
Endocardial cushion morphogenesis,5,biological_process
Calcineurin complex,2,cellular_component
Positive regulation of histone deacetylase activity,3,biological_process
Bone development,13,biological_process
Amino acid transmembrane transport,10,biological_process
Amino acid transmembrane transport,10,molecular_function
Regulation of steroid biosynthetic process,3,biological_process
Positive regulation of t-helper 1 cell cytokine production,1,biological_process
Cell differentiation involved in embryonic placenta development,3,biological_process
Negative regulation of release of cytochrome c from mitochondria,7,biological_process
Positive regulation of endothelial cell apoptotic process,4,biological_process
Negative regulation of erbb signaling pathway,3,biological_process
Autophagosome maturation,4,biological_process
Histone demethylase activity (h3-k9 specific),8,molecular_function
Cellular response to macrophage colony-stimulating factor stimulus,2,biological_process
Glycerolipid metabolic process,3,biological_process
Thioredoxin-disulfide reductase activity,4,molecular_function
Platelet dense granule organization,3,biological_process
Acyl carnitine transmembrane transporter activity,2,molecular_function
Type i transforming growth factor beta receptor binding,7,molecular_function
Aorta development,4,biological_process
Response to redox state,4,biological_process
N-acetylgalactosamine 4-o-sulfotransferase activity,2,molecular_function
Nonhomologous end joining complex,2,cellular_component
Ephrin receptor binding,5,molecular_function
Intrinsic component of endoplasmic reticulum membrane,2,cellular_component
Transmembrane receptor protein tyrosine kinase activator activity,6,molecular_function
Nucleolus organization,3,biological_process
Regulation of aerobic respiration,2,biological_process
Regulation of toll-like receptor signaling pathway,2,biological_process
Acyl-coa hydrolase activity,3,molecular_function
Dynein heavy chain binding,6,molecular_function
Pre-mrna cleavage required for polyadenylation,4,biological_process
Stereocilium tip,5,cellular_component
Protein k29-linked ubiquitination,3,biological_process
Peroxisome fission,2,biological_process
Regulation of ph,7,biological_process
Thyroid hormone generation,5,biological_process
Gonad development,4,biological_process
Negative thymic t cell selection,4,biological_process
Neuronal action potential propagation,4,biological_process
Oxygen homeostasis,4,biological_process
Fibrinogen binding,4,molecular_function
Interleukin-17-mediated signaling pathway,3,biological_process
Positive thymic t cell selection,4,biological_process
Protein phosphatase activator activity,6,molecular_function
Histone h3-s10 phosphorylation,2,biological_process
Positive regulation of chemokine production,7,biological_process
Striated muscle cell differentiation,5,biological_process
Very-low-density lipoprotein particle assembly,4,biological_process
Hemoglobin complex,2,cellular_component
Heart valve morphogenesis,5,biological_process
Keratan sulfate biosynthetic process,6,biological_process
Steroid biosynthetic process,7,biological_process
Signal transduction in response to dna damage,3,biological_process
Tau-protein kinase activity,8,biological_process
Actin filament reorganization,3,biological_process
Centriolar subdistal appendage,3,cellular_component
Protein import into nucleus,4,biological_process
Positive regulation of transforming growth factor beta receptor signaling pathway,7,biological_process
Mrna cleavage and polyadenylation specificity factor complex,4,cellular_component
Myelin sheath adaxonal region,1,cellular_component
Nucleoside transmembrane transporter activity,1,molecular_function
2-acylglycerol-3-phosphate o-acyltransferase activity,4,molecular_function
Cellular nitrogen compound metabolic process,6,biological_process
Dendritic spine head,1,cellular_component
Hsp70 protein binding,13,molecular_function
Negative regulation of mitotic nuclear division,3,biological_process
Myelin assembly,4,biological_process
Immunoglobulin receptor binding,3,molecular_function
Positive regulation of mesenchymal cell proliferation,7,biological_process
Aggrephagy,2,biological_process
Regulation of locomotion,3,biological_process
Positive regulation of toll-like receptor 4 signaling pathway,7,biological_process
Sodium-independent organic anion transport,6,biological_process
Carboxypeptidase activity,4,molecular_function
Response to progesterone,8,biological_process
Ketosteroid monooxygenase activity,2,molecular_function
N-acylphosphatidylethanolamine-specific phospholipase d activity,2,molecular_function
Ion homeostasis,3,biological_process
Cellular response to cytokine stimulus,12,biological_process
Cellular response to cytokine stimulus,12,molecular_function
Lipoprotein particle binding,2,molecular_function
Positive regulation of substrate adhesion-dependent cell spreading,13,biological_process
Exo-alpha-sialidase activity,3,biological_process
Response to molecule of bacterial origin,3,biological_process
Mitochondrial fragmentation involved in apoptotic process,2,biological_process
Positive regulation of multicellular organism growth,6,biological_process
Positive regulation of cell size,1,biological_process
Apolipoprotein binding,4,biological_process
Positive regulation of cell cycle g1/s phase transition,7,biological_process
Commitment complex,3,cellular_component
Thrombin-activated receptor activity,2,molecular_function
Cellular response to estradiol stimulus,7,biological_process
Trna splicing,2,biological_process
Mcm complex,5,cellular_component
G protein-coupled acetylcholine receptor signaling pathway,6,biological_process
Vitamin a metabolic process,3,biological_process
Alpha-beta t cell differentiation,4,biological_process
Protein localization to basolateral plasma membrane,2,biological_process
Clathrin complex,4,cellular_component
Transcription factor activity,6,molecular_function
Cellular ion homeostasis,2,biological_process
Regulation of cytokine secretion,2,biological_process
Type i pneumocyte differentiation,2,biological_process
Importin-alpha family protein binding,2,molecular_function
Positive regulation of camp-mediated signaling,5,biological_process
Insulin-responsive compartment,2,cellular_component
Fatty acid transport,4,biological_process
Fatty acid transport,4,molecular_function
Protein tyrosine kinase activator activity,3,molecular_function
Glutamate metabolic process,3,biological_process
Negative regulation of protein secretion,8,biological_process
Negative regulation of telomere maintenance via telomerase,6,molecular_function
Negative regulation of granulocyte differentiation,2,biological_process
Protein kinase regulator activity,3,molecular_function
Nadh dehydrogenase (ubiquinone) activity,10,molecular_function
Histone h3-k36 methylation,1,biological_process
Programmed cell death,3,biological_process
Parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization,1,biological_process
Tubular endosome,2,cellular_component
5'-deoxyribose-5-phosphate lyase activity,3,molecular_function
Host cell,4,cellular_component
Regulation of protein transport,2,biological_process
Phosphatidylinositol acyl-chain remodeling,5,biological_process
Negative regulation of cholesterol storage,3,biological_process
Negative regulation of epidermal growth factor-activated receptor activity,4,biological_process
Uv protection,6,biological_process
Supramolecular fiber organization,4,biological_process
Positive regulation of protein dephosphorylation,17,biological_process
Skeletal muscle myosin thick filament assembly,5,biological_process
I-smad binding,4,molecular_function
Chromaffin granule membrane,3,cellular_component
Positive regulation of proteasomal protein catabolic process,12,molecular_function
Cellular response to lipoteichoic acid,1,biological_process
Histone acetyltransferase activity (h4-k5 specific),4,molecular_function
Histone acetyltransferase activity (h4-k8 specific),4,molecular_function
Histone acetyltransferase activity (h4-k16 specific),4,molecular_function
Scarna localization to cajal body,2,biological_process
Gtpase regulator activity,8,molecular_function
Salivary gland morphogenesis,3,biological_process
Regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,2,biological_process
Anterograde neuronal dense core vesicle transport,4,biological_process
Vesicle targeting,3,biological_process
Antigen processing and presentation of endogenous peptide antigen via mhc class i,1,biological_process
Positive regulation of non-membrane spanning protein tyrosine kinase activity,5,biological_process
Membrane hyperpolarization,5,biological_process
Regulation of actin polymerization or depolymerization,4,biological_process
Cyclin-dependent protein serine/threonine kinase activity,4,molecular_function
Neurotransmitter catabolic process,5,biological_process
Tetrahydrofolate metabolic process,4,biological_process
Negative regulation of cilium assembly,4,biological_process
Negative regulation of innate immune response,2,biological_process
Glycerophospholipid catabolic process,3,biological_process
Lens fiber cell differentiation,5,biological_process
Adenylate cyclase binding,3,molecular_function
Regulation of protein complex assembly,10,biological_process
Progesterone receptor signaling pathway,4,biological_process
Sphingosine-1-phosphate receptor activity,5,molecular_function
Negative regulation of glucagon secretion,4,biological_process
Cellular protein-containing complex assembly,10,biological_process
Cellular protein-containing complex assembly,10,molecular_function
Dump biosynthetic process,2,biological_process
Astrocyte development,4,biological_process
Negative regulation of cytokine secretion,4,biological_process
Negative regulation of glucokinase activity,1,biological_process
Regulation of cellular localization,3,biological_process
Protein-dna complex assembly,2,biological_process
Extrinsic component of endoplasmic reticulum membrane,1,cellular_component
Positive regulation of binding,2,biological_process
Anaphase-promoting complex,6,cellular_component
Muscle cell cellular homeostasis,4,biological_process
Class i dna-(apurinic or apyrimidinic site) endonuclease activity,8,molecular_function
Creatine metabolic process,7,biological_process
Negative regulation of mitochondrial fusion,2,biological_process
Regulation of immunoglobulin secretion,4,biological_process
Protein phosphatase 2b binding,2,molecular_function
Positive regulation of keratinocyte migration,5,biological_process
Rna-dependent dna biosynthetic process,2,biological_process
Insulin receptor binding,2,molecular_function
Antigen processing and presentation,2,biological_process
Mammary gland development,13,biological_process
Glucocorticoid biosynthetic process,3,biological_process
Ear development,3,biological_process
Phosphatidylserine metabolic process,3,biological_process
Regulation of microtubule motor activity,2,biological_process
Negative regulation of activin receptor signaling pathway,2,biological_process
Negative regulation of t cell activation,3,biological_process
Positive regulation of mrna catabolic process,3,biological_process
Intracellular receptor signaling pathway,14,biological_process
Intracellular receptor signaling pathway,14,molecular_function
Voltage-gated calcium channel activity,11,molecular_function
Negative regulation of reactive oxygen species metabolic process,10,biological_process
Mature ribosome assembly,3,biological_process
Spindle localization,4,biological_process
Ankyrin repeat binding,4,molecular_function
Negative regulation of wnt signaling pathway,18,biological_process
Aminoacyl-trna editing activity,3,molecular_function
Neuronal stem cell population maintenance,3,biological_process
Nls-bearing protein import into nucleus,5,biological_process
Escrt iii complex,3,cellular_component
Positive regulation of protein complex assembly,3,biological_process
Motile cilium assembly,10,biological_process
Glutamate receptor binding,4,molecular_function
Membrane depolarization,8,molecular_function
Nuclear migration,10,biological_process
Diphosphoinositol-polyphosphate diphosphatase activity,4,molecular_function
Inositol diphosphate tetrakisphosphate diphosphatase activity,4,molecular_function
Inositol-1-diphosphate-2,4,molecular_function
Inositol-3-diphosphate-1,4,molecular_function
Inositol-5-diphosphate-1,4,molecular_function
Inositol-1,4,molecular_function
Inositol-1,4,molecular_function
Inositol-3,4,molecular_function
Shelterin complex,2,cellular_component
Cysteine-type endopeptidase activator activity involved in apoptotic process,9,molecular_function
Mesoderm formation,7,biological_process
Cilium movement,10,biological_process
T-helper 17 cell lineage commitment,3,biological_process
Potassium:chloride symporter activity,3,molecular_function
Inner cell mass cell proliferation,5,biological_process
Cellular response to cholesterol,5,biological_process
Trna 5'-leader removal,6,biological_process
Low-density lipoprotein particle clearance,4,biological_process
Positive regulation of histone phosphorylation,2,biological_process
Positive regulation of transporter activity,2,biological_process
Negative regulation of type b pancreatic cell apoptotic process,4,biological_process
Genitalia development,1,biological_process
Regulation of chemotaxis,4,biological_process
N6-methyladenosine-containing rna binding,1,molecular_function
T-helper 1 cell differentiation,3,biological_process
Positive regulation of establishment of endothelial barrier,2,biological_process
Cytoplasmic side of rough endoplasmic reticulum membrane,3,cellular_component
Skeletal muscle cell differentiation,16,biological_process
Tor signaling,5,biological_process
Enzyme regulator activity,2,molecular_function
Clathrin adaptor activity,3,molecular_function
Negative regulation of g0 to g1 transition,15,biological_process
Embryonic axis specification,1,biological_process
Synaptic membrane,9,cellular_component
Serotonin binding,5,biological_process
Endoplasmic reticulum mannose trimming,7,biological_process
Endonucleolytic cleavage in its1 to separate ssu-rrna from 5.8s rrna and lsu-rrna from tricistronic rrna transcript (ssu-rrna,2,biological_process
Positive regulation of epithelial cell proliferation involved in wound healing,6,biological_process
Negative regulation of b cell proliferation,4,biological_process
Chylomicron assembly,1,biological_process
Ventricular cardiac muscle cell development,2,biological_process
Uterus morphogenesis,2,biological_process
Inositol metabolic process,3,biological_process
Cell dedifferentiation,1,biological_process
Positive regulation of alpha-beta t cell proliferation,5,biological_process
Negative regulation of thymocyte apoptotic process,3,biological_process
Atrial septum development,1,biological_process
Regulation of axon guidance,2,biological_process
Positive regulation of excitatory postsynaptic potential,11,biological_process
Retinal blood vessel morphogenesis,3,biological_process
U5 snrnp,7,cellular_component
Natural killer cell degranulation,2,biological_process
Prostaglandin e receptor activity,2,molecular_function
Sumo polymer binding,3,molecular_function
Intercellular canaliculus,4,cellular_component
Negative regulation of protein homodimerization activity,2,biological_process
Oxidative phosphorylation,3,biological_process
Cardiac muscle cell differentiation,6,biological_process
Extracellularly glycine-gated chloride channel activity,3,molecular_function
Positive regulation of protein localization to centrosome,3,biological_process
Neurofilament,1,cellular_component
Type ii transforming growth factor beta receptor binding,5,molecular_function
Golgi to lysosome transport,3,biological_process
Borc complex,3,cellular_component
Histone dephosphorylation,3,biological_process
3',5,molecular_function
Telethonin binding,4,molecular_function
Positive regulation of cell death,11,biological_process
Regulation of neurogenesis,12,biological_process
Intra-s dna damage checkpoint,2,biological_process
Tfiid-class transcription factor complex binding,3,molecular_function
Tho complex part of transcription export complex,3,cellular_component
Negative regulation of telomerase activity,5,biological_process
Translation activator activity,2,molecular_function
Protein insertion into membrane,1,biological_process
Alcohol dehydrogenase activity,2,molecular_function
Cerebral cortex cell migration,2,biological_process
Proton-exporting atpase activity,4,molecular_function
Dna replication-dependent nucleosome assembly,5,biological_process
Positive regulation of peptidyl-tyrosine autophosphorylation,1,biological_process
Aspartate metabolic process,1,biological_process
Secondary palate development,7,biological_process
Protein-glutamine gamma-glutamyltransferase activity,2,biological_process
Crd-mediated mrna stabilization,2,biological_process
Granulocyte chemotaxis,1,biological_process
Endoplasmic reticulum tubular network membrane,4,cellular_component
Nad(p)+-protein-arginine adp-ribosyltransferase activity,3,molecular_function
Signal transduction involved in regulation of gene expression,3,biological_process
Negative regulation of mapk cascade,5,biological_process
Negative regulation of mapk cascade,5,molecular_function
Parallel fiber to purkinje cell synapse,8,cellular_component
Positive regulation of filopodium assembly,12,biological_process
Exonucleolytic trimming to generate mature 3'-end of 5.8s rrna from tricistronic rrna transcript (ssu-rrna,4,biological_process
Somite rostral/caudal axis specification,2,biological_process
Cop9 signalosome,16,cellular_component
Positive regulation of non-canonical wnt signaling pathway,2,biological_process
Ciliary base,14,cellular_component
Condensed chromosome,4,cellular_component
Negative regulation of intracellular estrogen receptor signaling pathway,8,biological_process
Bicellular tight junction assembly,9,biological_process
Cellular response to nutrient levels,2,biological_process
Protein kinase b binding,4,molecular_function
Cellular response to peptide hormone stimulus,7,biological_process
Cellular response to peptide hormone stimulus,7,molecular_function
Ribbon synapse,1,cellular_component
Positive regulation of er-associated ubiquitin-dependent protein catabolic process,4,biological_process
Carboxylic acid metabolic process,2,biological_process
Carboxylic acid metabolic process,2,molecular_function
Guanyl-nucleotide exchange factor complex,4,cellular_component
Regulation of neuron apoptotic process,4,biological_process
Ap-2 adaptor complex,3,cellular_component
Regulation of cardiac muscle cell membrane potential,5,molecular_function
Acyl-coa ligase activity,4,molecular_function
3',4,molecular_function
Negative regulation of protein transport,1,biological_process
Sumo-specific endopeptidase activity,2,molecular_function
Nad-dependent protein deacetylase activity,3,molecular_function
Crd-mediated mrna stability complex,2,cellular_component
Negative regulation of wound healing,5,biological_process
Dna metabolic process,3,biological_process
Dna metabolic process,3,molecular_function
T cell apoptotic process,1,biological_process
Interleukin-2 receptor binding,2,molecular_function
Protein destabilization,15,biological_process
Proton-transporting atp synthase activity,5,biological_process
Catalytic complex,5,cellular_component
Homotypic cell-cell adhesion,3,biological_process
Negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,3,biological_process
Homotypic cell-cell adhesion,3,molecular_function
Commissural neuron axon guidance,1,biological_process
Swr1 complex,2,cellular_component
Glycosaminoglycan binding,10,biological_process
Ligase activity,3,biological_process
Ligase activity,3,molecular_function
Protein localization to lysosome,5,biological_process
Spherical high-density lipoprotein particle,2,cellular_component
Positive regulation of ire1-mediated unfolded protein response,2,biological_process
Nlrp3 inflammasome complex,2,cellular_component
Retinal ganglion cell axon guidance,3,biological_process
Vcp-npl4-ufd1 aaa atpase complex,4,cellular_component
Positive regulation of cytokine-mediated signaling pathway,4,biological_process
Cgmp-mediated signaling,12,biological_process
Apoptotic dna fragmentation,5,biological_process
Lipase activity,8,biological_process
Lipase activity,8,molecular_function
Telomeric dna binding,7,molecular_function
Transmembrane receptor protein tyrosine kinase adaptor activity,2,molecular_function
Neuron fate commitment,7,biological_process
Inner ear receptor cell stereocilium organization,5,biological_process
Ap-3 adaptor complex,2,cellular_component
Positive regulation of extracellular matrix disassembly,3,biological_process
Calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,9,biological_process
Blastocyst development,3,biological_process
Neuromuscular junction development,12,biological_process
Histone acetylation,4,biological_process
Nadh metabolic process,4,biological_process
Negative regulation of cell growth involved in cardiac muscle cell development,3,biological_process
Protein localization to cilium,14,biological_process
Ell-eaf complex,2,cellular_component
Hepatocyte differentiation,3,biological_process
Sterol transport,2,biological_process
Sterol transport,2,molecular_function
Toxic substance binding,2,molecular_function
Positive regulation of receptor biosynthetic process,1,biological_process
Peptide antigen binding,6,molecular_function
Retinal cone cell development,6,biological_process
Reproductive process,6,biological_process
Reproductive process,6,molecular_function
Zymogen granule membrane,4,cellular_component
Negative regulation of tyrosine phosphorylation of stat protein,3,biological_process
Paracrine signaling,3,biological_process
Peptide:proton symporter activity,2,molecular_function
Oligopeptide transmembrane transporter activity,2,molecular_function
Glycogen metabolic process,10,biological_process
Glycogen metabolic process,10,molecular_function
Trna (cytosine-5-)-methyltransferase activity,2,molecular_function
Chaperone-mediated protein transport,2,biological_process
Sperm flagellum,13,cellular_component
Extracellular negative regulation of signal transduction,2,biological_process
Extracellular negative regulation of signal transduction,2,molecular_function
Response to fibroblast growth factor,1,biological_process
Fatty-acyl-coa synthase activity,4,molecular_function
Negative regulation of insulin-like growth factor receptor signaling pathway,1,biological_process
Negative regulation of torc1 signaling,6,biological_process
Dna catabolic process,4,biological_process
Negative regulation of trophoblast cell migration,3,biological_process
Dynein complex binding,5,molecular_function
Pyruvate metabolic process,6,biological_process
2-oxoglutarate metabolic process,7,biological_process
Catenin complex,5,cellular_component
N-acetyllactosaminide beta-1,2,molecular_function
Dead/h-box rna helicase binding,3,molecular_function
Rna polymerase ii activating transcription factor binding,16,molecular_function
Thrombin-activated receptor signaling pathway,5,biological_process
Histone h3 acetylation,16,biological_process
Histone h3 acetylation,16,molecular_function
Rrna methylation,6,biological_process
Rrna methylation,6,molecular_function
Positive regulation of superoxide anion generation,6,biological_process
Mitochondrial respiratory chain complex iv assembly,6,biological_process
Ubiquitin-specific protease binding,6,molecular_function
Retinal metabolic process,3,biological_process
Protein polymerization,7,biological_process
Calcium ion-regulated exocytosis of neurotransmitter,5,biological_process
Nose development,3,biological_process
Caveolin-mediated endocytosis,3,biological_process
Positive regulation of dna damage response,6,biological_process
Cellular response to x-ray,4,biological_process
Cytokine receptor binding,2,molecular_function
Histidine catabolic process,6,biological_process
Negative regulation of dna endoreduplication,4,biological_process
Negative regulation of tumor necrosis factor biosynthetic process,4,biological_process
Retrograde axonal transport,4,biological_process
Atrioventricular valve morphogenesis,5,biological_process
Positive regulation of interleukin-10 production,7,biological_process
Acetylcholine receptor regulator activity,2,molecular_function
Mitochondrial protein catabolic process,3,biological_process
Kidney morphogenesis,3,biological_process
Endonucleolytic cleavage in 5'-ets of tricistronic rrna transcript (ssu-rrna,2,biological_process
Positive regulation of isotype switching to igg isotypes,3,biological_process
Platelet dense tubular network membrane,3,cellular_component
Alpha-catenin binding,6,molecular_function
Sensory perception of sour taste,2,molecular_function
Oligosaccharide metabolic process,9,molecular_function
Sperm axoneme assembly,3,biological_process
Endosome to melanosome transport,4,biological_process
Positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,3,biological_process
Negative regulation of protein targeting to mitochondrion,2,biological_process
Vcb complex,2,cellular_component
Protein kinase a regulatory subunit binding,3,molecular_function
Sialic acid binding,6,molecular_function
Positive regulation of interleukin-8 secretion,4,biological_process
Negative regulation of striated muscle tissue development,2,biological_process
Protein-arginine omega-n monomethyltransferase activity,1,molecular_function
Rna polymerase ii preinitiation complex assembly,8,molecular_function
Positive regulation of histone methylation,2,biological_process
Positive regulation of vascular endothelial growth factor receptor signaling pathway,6,biological_process
Actin polymerization or depolymerization,3,biological_process
Susceptibility to natural killer cell mediated cytotoxicity,2,biological_process
Positive regulation of nuclear-transcribed mrna poly(a) tail shortening,1,biological_process
Monocarboxylic acid transmembrane transporter activity,4,molecular_function
Chromatin silencing,3,biological_process
Positive regulation of granulocyte differentiation,2,biological_process
Phospholipid-translocating atpase activity,5,molecular_function
Regulation of intracellular signal transduction,2,biological_process
Pip-body,2,cellular_component
Regulation of intracellular signal transduction,2,molecular_function
Negative regulation of potassium ion transport,1,biological_process
Epithelial cell proliferation,5,biological_process
Positive regulation of dendritic cell chemotaxis,3,biological_process
Dendritic spine maintenance,5,biological_process
Cellular homeostasis,6,biological_process
Fascia adherens,3,cellular_component
Anion transmembrane transport,15,biological_process
Anion transmembrane transport,15,molecular_function
Gaba-gated chloride ion channel activity,2,molecular_function
Glycerophospholipid metabolic process,2,biological_process
Cytoplasmic translation,5,biological_process
Regulation of neuron differentiation,6,biological_process
Glial cell migration,2,biological_process
Interleukin-17 receptor activity,2,molecular_function
Anterograde synaptic vesicle transport,6,biological_process
Germinal center formation,7,biological_process
Arachidonic acid secretion,6,biological_process
Retinal rod cell development,6,biological_process
Vasculature development,4,biological_process
Cargo loading into vesicle,5,biological_process
Cochlea morphogenesis,6,biological_process
Epithelial cell-cell adhesion,3,biological_process
Regulation of hair cycle,2,biological_process
Negative regulation of peptidyl-cysteine s-nitrosylation,1,biological_process
Negative regulation of potassium ion transmembrane transport,6,biological_process
Positive regulation of protein import into nucleus,2,biological_process
Endoplasmic reticulum tubular network organization,4,biological_process
Choline transmembrane transporter activity,6,molecular_function
Dendrite development,5,biological_process
Angiotensin maturation,3,biological_process
